,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
33,北海道石狩市,青森県佐井村,,宮城県女川町,,山形県庄内町,福島県会津美里町,茨城県大洗町,,群馬県大泉町,埼玉県坂戸市,千葉県香取市,東京都小平市,,,,,,,長野県辰野町,岐阜県坂祝町,静岡県川根本町,愛知県北名古屋市,,,,大阪府島本町,兵庫県福崎町,奈良県野迫川村,,,,,,,,,,高知県黒潮町,福岡県新宮町,,,熊本県芦北町,,,鹿児島県宇検村,沖縄県北大東村
34,北海道北斗市,青森県三戸町,,宮城県南三陸町,,山形県遊佐町,福島県西郷村,茨城県城里町,,群馬県邑楽町,埼玉県幸手市,千葉県山武市,東京都日野市,,,,,,,長野県箕輪町,岐阜県富加町,静岡県森町,愛知県弥富市,,,,大阪府豊能町,兵庫県神河町,奈良県十津川村,,,,,,,,,,,福岡県久山町,,,熊本県津奈木町,,,鹿児島県瀬戸内町,沖縄県伊平屋村
35,北海道当別町,青森県五戸町,,,,,福島県泉崎村,茨城県東海村,,,埼玉県鶴ヶ島市,千葉県いすみ市,東京都東村山市,,,,,,,長野県飯島町,岐阜県川辺町,,愛知県みよし市,,,,大阪府能勢町,兵庫県太子町,奈良県下北山村,,,,,,,,,,,福岡県粕屋町,,,熊本県錦町,,,鹿児島県龍郷町,沖縄県伊是名村
36,北海道新篠津村,青森県田子町,,,,,福島県中島村,茨城県大子町,,,埼玉県日高市,千葉県大網白里市,東京都国分寺市,,,,,,,長野県南箕輪村,岐阜県七宗町,,愛知県あま市,,,,大阪府忠岡町,兵庫県上郡町,奈良県上北山村,,,,,,,,,,,福岡県芦屋町,,,熊本県多良木町,,,鹿児島県喜界町,沖縄県久米島町
37,北海道松前町,青森県南部町,,,,,福島県矢吹町,茨城県美浦村,,,埼玉県吉川市,千葉県酒々井町,東京都国立市,,,,,,,長野県中川村,岐阜県八百津町,,愛知県長久手市,,,,大阪府熊取町,兵庫県佐用町,奈良県川上村,,,,,,,,,,,福岡県水巻町,,,熊本県湯前町,,,鹿児島県徳之島町,沖縄県八重瀬町
38,北海道福島町,青森県階上町,,,,,福島県棚倉町,茨城県阿見町,,,埼玉県ふじみ野市,千葉県栄町,東京都福生市,,,,,,,長野県宮田村,岐阜県白川町,,愛知県東郷町,,,,大阪府田尻町,兵庫県香美町,奈良県東吉野村,,,,,,,,,,,福岡県岡垣町,,,熊本県水上村,,,鹿児島県天城町,沖縄県多良間村
39,北海道知内町,青森県新郷村,,,,,福島県矢祭町,茨城県河内町,,,埼玉県白岡市,千葉県神崎町,東京都狛江市,,,,,,,長野県松川町,岐阜県東白川村,,愛知県豊山町,,,,大阪府岬町,兵庫県新温泉町,,,,,,,,,,,,福岡県遠賀町,,,熊本県相良村,,,鹿児島県伊仙町,沖縄県竹富町
40,北海道木古内町,,,,,,福島県塙町,茨城県八千代町,,,埼玉県伊奈町,千葉県多古町,東京都東大和市,,,,,,,長野県高森町,岐阜県御嵩町,,愛知県大口町,,,,大阪府太子町,兵庫県丹波篠山市,,,,,,,,,,,,福岡県小竹町,,,熊本県五木村,,,鹿児島県和泊町,沖縄県与那国町
41,北海道七飯町,,,,,,福島県鮫川村,茨城県五霞町,,,埼玉県三芳町,千葉県東庄町,東京都清瀬市,,,,,,,長野県阿南町,岐阜県白川村,,愛知県扶桑町,,,,大阪府河南町,,,,,,,,,,,,,福岡県鞍手町,,,熊本県山江村,,,鹿児島県知名町,沖縄県所属未定地
42,北海道鹿部町,,,,,,福島県石川町,茨城県境町,,,埼玉県毛呂山町,千葉県九十九里町,東京都東久留米市,,,,,,,長野県阿智村,,,愛知県大治町,,,,大阪府千早赤阪村,,,,,,,,,,,,,福岡県桂川町,,,熊本県球磨村,,,鹿児島県与論町,
43,北海道森町,,,,,,福島県玉川村,茨城県利根町,,,埼玉県越生町,千葉県芝山町,東京都武蔵村山市,,,,,,,長野県平谷村,,,愛知県蟹江町,,,,,,,,,,,,,,,,,福岡県筑前町,,,熊本県あさぎり町,,,,
44,北海道八雲町,,,,,,福島県平田村,,,,埼玉県滑川町,千葉県横芝光町,東京都多摩市,,,,,,,長野県根羽村,,,愛知県飛島村,,,,,,,,,,,,,,,,,福岡県東峰村,,,熊本県苓北町,,,,
45,北海道長万部町,,,,,,福島県浅川町,,,,埼玉県嵐山町,千葉県一宮町,東京都稲城市,,,,,,,長野県下條村,,,愛知県阿久比町,,,,,,,,,,,,,,,,,福岡県大刀洗町,,,,,,,
46,北海道江差町,,,,,,福島県古殿町,,,,埼玉県小川町,千葉県睦沢町,東京都羽村市,,,,,,,長野県売木村,,,愛知県東浦町,,,,,,,,,,,,,,,,,福岡県大木町,,,,,,,
47,北海道上ノ国町,,,,,,福島県三春町,,,,埼玉県川島町,千葉県長生村,東京都あきる野市,,,,,,,長野県天龍村,,,愛知県南知多町,,,,,,,,,,,,,,,,,福岡県広川町,,,,,,,
48,北海道厚沢部町,,,,,,福島県小野町,,,,埼玉県吉見町,千葉県白子町,東京都西東京市,,,,,,,長野県泰阜村,,,愛知県美浜町,,,,,,,,,,,,,,,,,福岡県香春町,,,,,,,
49,北海道乙部町,,,,,,福島県広野町,,,,埼玉県鳩山町,千葉県長柄町,東京都瑞穂町,,,,,,,長野県喬木村,,,愛知県武豊町,,,,,,,,,,,,,,,,,福岡県添田町,,,,,,,
50,北海道奥尻町,,,,,,福島県楢葉町,,,,埼玉県ときがわ町,千葉県長南町,東京都日の出町,,,,,,,長野県豊丘村,,,愛知県幸田町,,,,,,,,,,,,,,,,,福岡県糸田町,,,,,,,
51,北海道今金町,,,,,,福島県富岡町,,,,埼玉県横瀬町,千葉県大多喜町,東京都檜原村,,,,,,,長野県大鹿村,,,愛知県設楽町,,,,,,,,,,,,,,,,,福岡県川崎町,,,,,,,
52,北海道せたな町,,,,,,福島県川内村,,,,埼玉県皆野町,千葉県御宿町,東京都奥多摩町,,,,,,,長野県上松町,,,愛知県東栄町,,,,,,,,,,,,,,,,,福岡県大任町,,,,,,,
53,北海道島牧村,,,,,,福島県大熊町,,,,埼玉県長瀞町,千葉県鋸南町,東京都大島町,,,,,,,長野県南木曽町,,,愛知県豊根村,,,,,,,,,,,,,,,,,福岡県赤村,,,,,,,
54,北海道寿都町,,,,,,福島県双葉町,,,,埼玉県小鹿野町,千葉県所属未定地,東京都利島村,,,,,,,長野県木祖村,,,愛知県所属未定地,,,,,,,,,,,,,,,,,福岡県福智町,,,,,,,
55,北海道黒松内町,,,,,,福島県浪江町,,,,埼玉県東秩父村,,東京都新島村,,,,,,,長野県王滝村,,,,,,,,,,,,,,,,,,,,福岡県苅田町,,,,,,,
56,北海道蘭越町,,,,,,福島県葛尾村,,,,埼玉県美里町,,東京都神津島村,,,,,,,長野県大桑村,,,,,,,,,,,,,,,,,,,,福岡県みやこ町,,,,,,,
57,北海道ニセコ町,,,,,,福島県新地町,,,,埼玉県神川町,,東京都三宅村,,,,,,,長野県木曽町,,,,,,,,,,,,,,,,,,,,福岡県吉富町,,,,,,,
58,北海道真狩村,,,,,,福島県飯舘村,,,,埼玉県上里町,,東京都御蔵島村,,,,,,,長野県麻績村,,,,,,,,,,,,,,,,,,,,福岡県上毛町,,,,,,,
59,北海道留寿都村,,,,,,,,,,埼玉県寄居町,,東京都八丈町,,,,,,,長野県生坂村,,,,,,,,,,,,,,,,,,,,福岡県築上町,,,,,,,
60,北海道喜茂別町,,,,,,,,,,埼玉県宮代町,,東京都青ヶ島村,,,,,,,長野県山形村,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,北海道京極町,,,,,,,,,,埼玉県杉戸町,,東京都小笠原村,,,,,,,長野県朝日村,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,北海道倶知安町,,,,,,,,,,埼玉県松伏町,,東京都所属未定地,,,,,,,長野県筑北村,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,北海道共和町,,,,,,,,,,,,,,,,,,,長野県池田町,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,北海道岩内町,,,,,,,,,,,,,,,,,,,長野県松川村,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,北海道泊村,,,,,,,,,,,,,,,,,,,長野県白馬村,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,北海道神恵内村,,,,,,,,,,,,,,,,,,,長野県小谷村,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,北海道積丹町,,,,,,,,,,,,,,,,,,,長野県坂城町,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,北海道古平町,,,,,,,,,,,,,,,,,,,長野県小布施町,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,北海道仁木町,,,,,,,,,,,,,,,,,,,長野県高山村,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,北海道余市町,,,,,,,,,,,,,,,,,,,長野県山ノ内町,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,北海道赤井川村,,,,,,,,,,,,,,,,,,,長野県木島平村,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,北海道南幌町,,,,,,,,,,,,,,,,,,,長野県野沢温泉村,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,北海道奈井江町,,,,,,,,,,,,,,,,,,,長野県信濃町,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,北海道上砂川町,,,,,,,,,,,,,,,,,,,長野県小川村,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,北海道由仁町,,,,,,,,,,,,,,,,,,,長野県飯綱町,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,北海道長沼町,,,,,,,,,,,,,,,,,,,長野県栄村,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,北海道栗山町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,北海道月形町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,北海道浦臼町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,北海道新十津川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,北海道妹背牛町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,北海道秩父別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,北海道雨竜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,北海道北竜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,北海道沼田町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,北海道鷹栖町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,北海道東神楽町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,北海道当麻町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,北海道比布町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,北海道愛別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,北海道上川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,北海道東川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,北海道美瑛町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,北海道上富良野町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,北海道中富良野町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,北海道南富良野町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,北海道占冠村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,北海道和寒町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,北海道剣淵町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,北海道下川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,北海道美深町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,北海道音威子府村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,北海道中川町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,北海道幌加内町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,北海道増毛町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,北海道小平町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,北海道苫前町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,北海道羽幌町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,北海道初山別村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,北海道遠別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,北海道天塩町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,北海道猿払村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,北海道浜頓別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,北海道中頓別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,北海道枝幸町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,北海道豊富町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,北海道礼文町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,北海道利尻町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,北海道利尻富士町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,北海道幌延町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,北海道美幌町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,北海道津別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,北海道斜里町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,北海道清里町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,北海道小清水町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,北海道訓子府町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,北海道置戸町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,北海道佐呂間町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,北海道遠軽町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,北海道湧別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,北海道滝上町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,北海道興部町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,北海道西興部村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,北海道雄武町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,北海道大空町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,北海道豊浦町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,北海道壮瞥町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,北海道白老町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,北海道厚真町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,北海道洞爺湖町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,北海道安平町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,北海道むかわ町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,北海道日高町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,北海道平取町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,北海道新冠町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,北海道浦河町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,北海道様似町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,北海道えりも町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,北海道新ひだか町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,北海道音更町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,北海道士幌町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,北海道上士幌町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,北海道鹿追町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,北海道新得町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,北海道清水町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,北海道芽室町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,北海道中札内村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,北海道更別村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,北海道大樹町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,北海道広尾町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,北海道幕別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,北海道池田町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,北海道豊頃町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,北海道本別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,北海道足寄町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,北海道陸別町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,北海道浦幌町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,北海道釧路町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,北海道厚岸町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,北海道浜中町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,北海道標茶町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,北海道弟子屈町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,北海道鶴居村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,北海道白糠町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,北海道別海町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,北海道中標津町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,北海道標津町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,北海道羅臼町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,北海道色丹村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,北海道泊村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,北海道留夜別村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,北海道留別村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,北海道紗那村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,北海道蘂取村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
